id,group,sex,age,hbs20__1,hbs20__2,hbs20__3,hbs20__4,hbs20__5,hbs20__6,hbs20__7,hbs20__8,hbs20__9,hbs20__10,hbs20__11,hbs20__12,hbs20__13,hbs20__14,hbs20__15,hbs20__16,hbs20__17,hbs20__18,hbs20__19,hbs20__20,pec5__1,pec5__2,pec5__3,pec5__4,pec5__5,be8__1,be8__2,be8__3,be8__4,be8__5,be8__6,be8__7,be8__8,est10__1,est10__2,est10__3,est10__4,est10__5,est10__6,est10__7,est10__8,est10__9,est10__10,cli13__1,cli13__2,cli13__3,cli13__4,cli13__5,cli13__6,cli13__7,cli13__8,cli13__9,cli13__10,cli13__11,cli13__12,cli13__13,sou13__1,sou13__2,sou13__3,sou13__4,sou13__5,sou13__6,sou13__7,sou13__8,sou13__9,sou13__10,sou13__11,sou13__12,sou13__13,mot16__1,mot16__2,mot16__3,mot16__4,mot16__5,mot16__6,mot16__7,mot16__8,mot16__9,mot16__10,mot16__11,mot16__12,mot16__13,mot16__14,mot16__15,mot16__16,sho_1,sho_2,sho_3,sho_4,temps,fin_1,fin_2,fin_3,hbs_sco,pec_sco,be_sco,est_sco,cli_sco,sou_sco,mot_sco
21001,expérimental,garçon,16,3,2,2,1,4,4,5,2,4,3,3,5,2,5,1,3,5,5,5,5,2,1,3,2,3,3,1,4,4,4,6,5,3,2,3,3,1,3,1,4,2,3,3,4,4,3,3,4,2,4,4,3,4,3,4,3,4,4,4,4,3,5,3,2,4,2,3,3,3,3,6,6,7,4,6,6,6,4,5,6,7,4,5,7,7,6,3,1,4,temps 1,,,,3.45,2.2,3.75,2.5,3.46153846153846,3.38461538461538,5.5625
21002,expérimental,fille,15,3,3,2,5,5,5,3,3,5,3,1,4,5,5,3,5,4,5,1,3,5,5,5,4,5,7,5,1,7,1,1,7,7,3,2,1,3,1,1,4,1,3,3,4,5,3,5,5,3,4,5,5,5,3,5,3,1,1,1,1,1,5,1,1,5,1,1,1,1,1,5,7,7,1,7,4,5,1,7,7,3,7,7,1,7,4,1,1,2,temps 1,,,,3.65,4.8,4.5,2.2,4.23076923076923,1.61538461538462,4.8125
21003,expérimental,fille,16,5,4,4,3,5,4,5,4,3,4,5,5,1,4,1,2,5,5,4,4,4,3,2,1,5,3,2,4,7,1,4,7,4,4,3,4,2,3,3,4,3,1,4,3,4,2,4,3,3,3,3,3,4,3,4,2,5,5,4,4,3,5,3,4,4,4,4,4,4,4,4,4,7,3,5,4,7,2,5,6,4,1,5,2,7,3,5,4,2,temps 1,,,,3.85,3,4,3.1,3.15384615384615,4.07692307692308,4.375
21004,expérimental,fille,15,5,5,5,3,4,4,5,5,4,4,5,5,4,4,4,3,4,5,5,5,5,5,4,3,5,4,4,5,4,4,4,4,6,3,3,3,3,4,3,4,4,4,4,4,3,5,4,4,4,3,5,4,3,3,4,5,4,5,5,5,3,2,3,4,5,2,3,2,3,4,4,6,7,4,5,5,7,4,4,7,7,3,7,1,7,5,3,4,4,temps 1,,,,4.4,4.4,4.375,3.5,3.92307692307692,3.53846153846154,5.125
21005,expérimental,garçon,16,3,2,2,1,3,3,5,5,4,5,4,4,2,1,1,4,3,5,2,2,2,1,4,2,4,1,1,1,1,2,1,5,4,2,2,2,2,4,3,4,3,4,4,2,4,3,4,4,2,3,3,3,4,1,3,3,3,4,4,3,1,2,2,4,5,3,3,3,1,3,6,7,7,3,5,6,6,2,4,5,5,1,6,2,5,6,3,3,2,temps 1,,,,3.05,2.6,2,3,3,2.92307692307692,4.5625
21006,expérimental,garçon,15,4,4,5,5,3,3,5,5,5,5,5,5,3,5,3,3,5,5,5,3,5,5,5,5,5,4,4,4,4,4,4,7,7,2,2,3,2,3,2,4,2,2,4,5,2,5,5,5,2,3,2,3,2,2,2,2,5,5,5,5,5,5,2,5,5,5,5,5,5,3,7,3,7,3,7,7,7,3,3,7,5,3,7,5,5,4,1,1,3,temps 1,,,,4.3,5,4.75,2.6,3.07692307692308,4.76923076923077,5.125
21007,expérimental,fille,15,4,4,4,3,4,5,3,2,5,3,4,4,5,5,5,5,5,4,5,4,1,2,3,1,2,7,7,3,7,4,4,3,7,2,1,2,1,3,2,4,3,3,4,3,2,3,5,5,1,4,5,1,5,4,5,2,3,4,3,3,3,4,3,5,1,3,3,3,4,1,4,7,7,1,4,7,7,4,4,7,1,1,7,1,4,5,4,2,2,temps 1,,,,4.15,1.8,5.25,2.5,3.46153846153846,3.23076923076923,4.1875
21009,expérimental,fille,16,5,5,3,3,4,5,2,4,4,3,4,4,5,5,3,3,3,5,4,4,3,4,4,3,1,3,3,4,4,3,5,5,4,4,3,3,3,4,2,3,3,3,3,3,2,4,3,3,4,4,3,4,3,2,2,4,4,4,3,2,2,3,3,4,3,3,2,2,2,2,6,7,6,5,5,6,4,7,7,7,4,4,6,2,6,4,3,4,3,temps 1,,,,3.9,3,3.875,3.1,3.15384615384615,2.84615384615385,5.25
21010,expérimental,fille,15,3,3,5,4,5,5,3,4,3,4,4,5,3,4,4,3,5,4,5,3,2,3,4,3,4,4,2,4,5,3,4,5,6,2,1,2,1,3,1,4,3,3,4,4,4,3,4,4,3,4,4,2,4,3,4,2,3,2,3,4,4,3,4,2,5,2,3,2,3,4,7,4,7,3,6,2,6,4,3,3,6,4,6,6,7,4,3,2,4,temps 1,,,,3.95,3.2,4.125,2.4,3.46153846153846,3.07692307692308,4.875
21011,expérimental,fille,15,4,4,3,3,4,3,3,4,4,3,4,4,5,4,3,4,4,5,4,4,4,4,4,4,3,3,2,4,5,3,4,4,4,2,2,3,1,2,1,4,2,3,4,4,2,3,4,4,2,3,3,1,2,4,4,2,4,4,3,3,3,3,3,3,4,3,3,2,3,4,4,4,6,5,5,5,6,5,4,5,3,4,5,6,6,5,3,3,3,temps 1,,,,3.8,3.8,3.625,2.4,2.92307692307692,3.15384615384615,4.8125
21012,expérimental,fille,16,3,2,3,2,4,4,2,3,4,3,4,4,5,4,5,5,5,5,5,5,3,3,5,5,2,4,2,5,3,4,4,5,6,3,2,4,2,4,2,3,2,3,3,1,3,3,1,5,3,2,4,3,5,1,5,3,4,2,3,4,1,4,2,2,1,3,3,3,2,5,6,6,6,3,5,5,6,6,4,6,2,4,6,2,6,5,3,3,3,temps 1,,,,3.85,3.6,4.125,2.8,3,2.61538461538462,4.875
21013,expérimental,fille,15,4,5,4,3,4,3,5,3,4,3,3,5,5,5,2,4,4,1,3,3,5,5,5,5,5,1,1,1,1,1,2,4,1,3,3,4,3,4,3,3,1,3,3,3,1,4,4,4,4,2,4,4,4,4,4,3,1,3,4,3,1,3,5,1,5,3,2,2,2,1,6,7,7,4,7,7,7,1,6,7,6,2,7,1,3,4,3,3,3,temps 1,,,,3.65,5,1.5,3,3.46153846153846,2.69230769230769,4.9375
21016,expérimental,fille,16,4,4,3,4,3,5,2,4,4,3,4,4,5,4,4,4,5,3,5,4,3,3,5,3,3,2,2,4,6,3,6,4,5,2,2,3,1,3,1,4,2,3,3,5,4,3,4,4,2,3,2,2,3,4,4,4,4,4,3,3,3,4,1,2,4,2,2,4,4,4,4,4,4,4,4,4,7,1,4,4,7,4,4,7,4,3,3,3,5,temps 1,,,,3.9,3.4,4,2.4,3.38461538461538,3.07692307692308,4.375
21017,expérimental,fille,17,2,3,2,4,3,3,4,3,2,3,3,3,4,4,2,5,3,4,4,5,2,3,3,1,3,3,2,4,3,2,1,4,6,1,1,3,2,1,1,1,1,1,3,1,3,2,3,4,1,1,3,2,4,1,2,1,4,4,4,4,1,4,3,4,1,4,4,2,1,1,4,7,7,4,6,4,7,1,3,7,7,1,7,1,7,3,3,2,2,temps 1,,,,3.3,2.4,3.125,1.5,2.15384615384615,3.07692307692308,4.625
21018,expérimental,fille,15,1,3,3,4,3,1,2,3,2,1,1,3,2,3,3,3,5,5,5,4,2,3,2,1,2,3,4,1,7,4,4,4,7,2,1,1,1,3,1,4,4,4,3,5,4,3,5,4,1,4,5,1,2,1,3,1,1,1,1,1,1,2,3,3,5,1,4,1,2,3,5,3,4,1,2,1,2,1,4,4,7,1,6,1,2,5,5,1,3,temps 1,,,,2.85,2,4.25,2.4,3,2,2.9375
21019,expérimental,garçon,15,4,4,5,4,3,4,4,4,5,4,3,5,4,4,2,5,5,5,4,2,4,3,5,4,2,3,4,4,6,1,4,6,5,3,2,2,3,2,2,4,4,4,3,3,5,4,4,5,3,3,3,3,3,4,4,4,5,5,4,5,5,4,4,5,5,4,4,4,3,3,4,5,7,5,5,6,6,5,4,4,5,4,6,1,2,5,2,3,3,temps 1,,,,4,3.6,4.125,2.9,3.69230769230769,4.38461538461539,4.5
21022,expérimental,garçon,16,3,5,3,3,5,3,3,5,4,5,3,3,4,5,4,4,5,4,5,4,5,3,3,4,3,2,1,3,3,1,2,2,6,2,1,4,2,4,2,2,1,1,4,2,3,1,2,3,1,2,2,4,5,2,2,2,2,2,1,2,1,4,2,1,4,1,2,1,1,1,3,2,5,2,2,2,6,2,1,3,6,3,2,5,5,3,3,3,2,temps 1,,,,4,3.6,2.5,2.3,2.38461538461538,1.84615384615385,3.125
